drug_a,drug_b,score,name_a,name_b,influential_neighbors_a,influential_neighbors_b
DB00328,DB07983,0.9995323419570924,Indomethacin,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000)
DB00328,DB13308,0.999284565448761,Indomethacin,Oxametacin,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB13308:Oxametacin (1.000)
DB07983,DB13308,0.9991100430488586,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,Oxametacin,DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000),DB13308:Oxametacin (1.000)
DB00682,DB14055,0.9985509514808656,Warfarin,(S)-Warfarin,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB03622,DB13821,0.998492956161499,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",Ceftezole,"DB03622:5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione (1.000)",DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00682,DB01418,0.9979097247123718,Warfarin,Acenocoumarol,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB01418:Acenocoumarol (1.000)
DB07443,DB08880,0.997732162475586,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,Teriflunomide,DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB01873,DB04977,0.9977072477340698,Epothilone D,Plitidepsin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB00983:Formoterol (0.004); DB04977:Plitidepsin (0.001)
DB01434,DB01873,0.9975044131278992,19-norandrostenedione,Epothilone D,DB01434:19-norandrostenedione (0.585); DB04630:Aldosterone (0.109),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB01076,DB07443,0.9974990487098694,Atorvastatin,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB11554:Tylvalosin (1.000); DB01369:Quinupristin (0.999); DB01321:Josamycin (0.999),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB08169,DB08880,0.9973377585411072,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,Teriflunomide,DB08169:(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide (1.000),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB00328,DB07984,0.9973248243331908,Indomethacin,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB07984:2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide (1.000)
DB00328,DB07981,0.9973248243331908,Indomethacin,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB07981:2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide (1.000)
DB00162,DB01873,0.9972583055496216,Vitamin A,Epothilone D,DB00162:Vitamin A (0.428); DB12474:Lynestrenol (0.029),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB01418,DB14055,0.9972482323646544,Acenocoumarol,(S)-Warfarin,DB01418:Acenocoumarol (1.000),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB00328,DB03121,0.9972323775291444,Indomethacin,(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB03121:(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid (1.000)
DB01873,DB02587,0.9972304701805116,Epothilone D,Colforsin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB02587:Colforsin (0.459); DB13967:Patent Blue (0.007)
DB00328,DB00338,0.9971768856048584,Indomethacin,Omeprazole,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB14218:Telotristat (0.574); DB00338:Omeprazole (0.506)
DB07981,DB07983,0.996871054172516,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,DB07981:2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide (1.000),DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000)
DB01471,DB01873,0.9968445301055908,Bolasterone,Epothilone D,DB01471:Bolasterone (0.496); DB04630:Aldosterone (0.065),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
